Time_relative,compass
26.729,1.2071228
26.749,2.1837158
26.769,2.4206543
26.789,1.5894775
26.808,1.2417603
26.828,0.2494812
26.849,0.22018433
26.869,0.2112732
26.888,359.26495
26.909,359.41995
26.929,359.20767
26.949,359.19742
26.968,359.73737
26.989,358.9186
27.009,358.20276
27.029,359.86627
27.049,359.96713
27.069,359.52988
27.088,0.25958252
27.109,2.5317688
27.129,3.1895142
27.149,3.831543
27.168,2.4840393
27.189,0.54415894
27.209,0.3958435
27.229,359.98273
27.248,359.27267
27.27,359.0588
27.289,359.97617
27.309,1.3178406
27.329,1.130249
27.35,1.771698
27.369,1.2097168
27.389,0.4428711
27.408,0.62664795
27.432,0.8109436
27.448,0.52111816
27.469,0.6011963
27.489,0.6636963
27.51,0.7849426
27.529,1.1707458
27.549,1.566803
27.569,1.6786499
27.593,1.9919128
27.609,0.898468
27.628,0.16012573
27.648,0.39318848
27.67,1.3382874
27.688,2.2088318
27.708,3.0532227
27.728,2.658142
27.751,2.30896
27.768,2.2176514
27.788,2.5470886
27.808,2.4713745
27.828,3.3562622
27.849,4.5572815
27.868,3.7787476
27.889,2.746399
27.908,2.5886536
27.929,2.7233276
27.948,2.780487
27.968,2.8472595
27.988,2.5789185
28.009,2.998413
28.029,2.7512207
28.048,2.954193
28.068,2.828247
28.089,2.8878174
28.109,2.6033325
28.154,2.8166199
28.157,2.9987488
28.169,3.1966248
28.188,3.7538757
28.208,3.5532227
28.228,3.3815002
28.249,3.5699768
28.268,3.7695618
28.288,4.379944
28.309,5.595093
28.328,4.5508423
28.348,3.8679504
28.369,3.32901
28.388,3.2177124
28.408,4.277405
28.428,5.560089
28.448,5.681793
28.468,6.0780334
28.488,5.0032654
28.508,4.919922
28.528,5.1054077
28.549,5.068939
28.569,3.3859253
28.588,3.584381
28.609,3.668213
28.628,3.0463562
28.648,3.1515503
28.668,4.626343
28.688,5.400879
28.708,5.583435
28.728,5.774719
28.748,5.311676
28.768,5.556793
28.789,6.2981567
28.81,6.644989
28.831,6.3311157
28.848,4.6948547
28.869,4.118561
28.891,4.6632996
