Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
133.48,322.91,322.91,836539.5843614261,818661.4323266477,836539.1560681484,818656.7493624919
133.49,323.37,290.8,836539.5809725367,818661.436884804,836539.1507584242,818656.7513794675
133.5,323.8,291.23,836539.577617951,818661.441468264,836539.1454639875,818656.7534362344
133.51,324.58,295.62888888888887,836539.5743260708,818661.4460969666,836539.140342899,818656.7558930235
133.52,324.92,299.5877777777778,836539.571061716,818661.4507451216,836539.1354036498,818656.7586975147
133.53,325.22,303.5066666666667,836539.5678217437,818661.4554103051,836539.1306676189,818656.7618330166
133.54,325.51,307.41555555555556,836539.5646054249,818661.4600918265,836539.1261563534,818656.7652840804
133.55,325.78,311.3044444444444,836539.5614112043,818661.4647884538,836539.1218895337,818656.7690331602
133.56,326.35,315.49333333333334,836539.5582638644,818661.4695166257,836539.1179079631,818656.7730838936
133.57,326.66,319.4222222222222,836539.5551421513,818661.4742617556,836539.1142132978,818656.7773979171
133.58,327.0,323.3811111111111,836539.5520486522,818661.4790253278,836539.1108252931,818656.7819567298
133.59,327.39,327.39,836539.5489876491,818661.483809845,836539.10776429,818656.786741247
133.6,327.8,327.8,836539.5459609618,818661.4886161454,836539.1047376026,818656.7915475474
133.61,328.65,328.65,836539.5430059073,818661.4934668159,836539.1017825482,818656.796398218
133.62,329.06,329.06,836539.5400856393,818661.4983385082,836539.0988622803,818656.8012699102
133.63,329.46,329.46,836539.5371994528,818661.5032304687,836539.0959760937,818656.8061618707
133.64,329.82,329.82,836539.5343440595,818661.5081404677,836539.0931207003,818656.8110718698
133.65,330.16,330.16,836539.5315178517,818661.5130673237,836539.0902944927,818656.8159987257
133.66,330.8,330.8,836539.5287468543,818661.5180254416,836539.0875234952,818656.8209568436
133.67,331.11,331.11,836539.5260027237,818661.5229984794,836539.0847793646,818656.8259298814
133.68,331.42,331.42,836539.5232855388,818661.5279862898,836539.0820621797,818656.8309176918
133.69,331.74,331.74,836539.5205962529,818661.5329891979,836539.0793728938,818656.8359206
133.7,332.1,332.1,836539.517938455,818661.5380089064,836539.0767150959,818656.8409403085
133.71,332.86,332.86,836539.515347473,818661.5430634256,836539.0741241138,818656.8459948276
133.72,333.27,333.27,836539.5127927255,818661.5481363569,836539.0715693663,818656.8510677589
133.73,333.7,333.7,836539.5102761211,818661.5532283183,836539.069052762,818656.8561597203
133.74,334.14,334.14,836539.5077986942,818661.5583394554,836539.066575335,818656.8612708575
133.75,334.6,334.6,836539.5053623815,818661.5634703176,836539.0641390224,818656.8664017196
133.76,335.06,335.06,836539.5029673406,818661.5686205735,836539.0617439816,818656.8715519755
133.77,336.0,336.0,836539.5006571137,818661.573809427,836539.0594337545,818656.8767408291
133.78,336.48,336.48,836539.4983904369,818661.5790174522,836539.0571670778,818656.8819488542
133.79,336.97,336.97,836539.4961683827,818661.5842446731,836539.0549450235,818656.8871760751
133.8,337.48,337.48,836539.4939929446,818661.5894914656,836539.0527695854,818656.8924228676
133.81,338.01,338.01,836539.4918661322,818661.5947581568,836539.0506427732,818656.8976895588
133.82,339.07,339.07,836539.4898371149,818661.6000632901,836539.0486137557,818656.9029946921
133.83,339.6,339.6,836539.4878572585,818661.6053869649,836539.0466338994,818656.9083183669
133.84,340.12,340.12,836539.4859257977,818661.6107283892,836539.0447024385,818656.9136597912
133.85,340.62,340.62,836539.4840410237,818661.6160864646,836539.0428176646,818656.9190178666
133.86,341.11,341.11,836539.4822021407,818661.6214604637,836539.0409787815,818656.9243918657
133.87,342.04,342.04,836539.4804507236,818661.626863602,836539.0392273645,818656.9297950041
133.88,342.49,342.49,836539.4787417961,818661.6322803292,836539.037518437,818656.9352117312
133.89,342.94,342.94,836539.4770754655,818661.6377103102,836539.0358521064,818656.9406417122
133.9,343.39,343.39,836539.4754518328,818661.6431532115,836539.0342284736,818656.9460846136
133.91,343.86,343.86,836539.4738729013,818661.6486092473,836539.0326495422,818656.9515406494
133.92,344.84,344.84,836539.4723875172,818661.6540914916,836539.0311641581,818656.9570228937
133.93,345.38,345.38,836539.4709538673,818661.6595874905,836539.0297305082,818656.9625188926
133.94,345.95,345.95,836539.4695749652,818661.6650974803,836539.028351606,818656.9680288824
133.95,346.54,346.54,836539.4682528728,818661.6706213761,836539.0270295137,818656.9735527782
133.96,347.12,347.12,836539.4669867663,818661.6761583722,836539.0257634072,818656.9790897742
133.97,348.22,348.22,836539.4658271881,818661.6817186541,836539.024603829,818656.9846500561
133.98,348.72,348.72,836539.4647161772,818661.6872888429,836539.0234928181,818656.990220245
133.99,349.18,349.18,836539.4636499202,818661.6928677732,836539.022426561,818656.9957991752
134.0,349.63,349.63,836539.4626275141,818661.6984549059,836539.0214041551,818657.0013863079
134.01,350.06,350.06,836539.4616470668,818661.704049554,836539.0204237077,818657.0069809561
134.02,350.5,350.5,836539.460709612,818661.7096515662,836539.0194862529,818657.0125829682
134.03,351.37,351.37,836539.4598573246,818661.7152671653,836539.0186339655,818657.0181985673
134.04,351.8,351.8,836539.4590472059,818661.7208890035,836539.0178238467,818657.0238204056
134.05,352.22,352.22,836539.4582783185,818661.7265166283,836539.0170549593,818657.0294480304
134.06,352.63,352.63,836539.4575497214,818661.7321496116,836539.0163263623,818657.0350810136
134.07,353.0,353.0,836539.4568575142,818661.7377871817,836539.0156341551,818657.0407185837
134.08,353.63,353.63,836539.4562273362,818661.743432023,836539.015003977,818657.046363425
134.09,353.91,353.91,836539.455624752,818661.7490798756,836539.0144013929,818657.0520112778
134.1,354.16,354.16,836539.4550468171,818661.7547303037,836539.013823458,818657.0576617057
134.11,354.42,354.42,836539.454494529,818661.7603832966,836539.01327117,818657.0633146988
