Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
41.37,5.73,5.73,836560.9413318085,818628.0762755565,836560.9413318085,818628.0762755565
41.38,5.74,5.74,836560.9418998809,818628.0819269862,836560.9418998809,818628.0819269862
41.39,5.74,5.74,836560.9424679533,818628.087578416,836560.9424679533,818628.087578416
41.4,5.72,5.72,836560.9430340525,818628.0932300437,836560.9430340525,818628.0932300437
41.41,5.7,5.7,836560.9435981803,818628.0988818672,836560.9435981803,818628.0988818672
41.42,5.65,5.65,836560.9441573758,818628.1045341816,836560.9441573758,818628.1045341816
41.43,5.65,5.65,836560.9447165715,818628.110186496,836560.9447165715,818628.110186496
41.44,5.65,5.65,836560.945275767,818628.1158388105,836560.945275767,818628.1158388105
41.45,5.66,5.66,836560.9458359482,818628.1214910279,836560.9458359482,818628.1214910279
41.46,5.67,5.67,836560.9463971151,818628.1271431464,836560.9463971151,818628.1271431464
41.47,5.69,5.69,836560.9469602553,818628.1327950689,836560.9469602553,818628.1327950689
41.48,5.68,5.68,836560.9475224098,818628.1384470904,836560.9475224098,818628.1384470904
41.49,5.68,5.68,836560.9480845644,818628.1440991119,836560.9480845644,818628.1440991119
41.5,5.67,5.67,836560.9486457312,818628.1497512304,836560.9486457312,818628.1497512304
41.51,5.66,5.66,836560.9492059125,818628.1554034479,836560.9492059125,818628.1554034479
41.52,5.64,5.64,836560.9497641204,818628.1610558592,836560.9497641204,818628.1610558592
41.53,5.62,5.62,836560.950320355,818628.1667084665,836560.950320355,818628.1667084665
41.54,5.6,5.6,836560.9508746163,818628.1723612656,836560.9508746163,818628.1723612656
41.55,5.56,5.56,836560.951424931,818628.1780144505,836560.951424931,818628.1780144505
41.56,5.53,5.53,836560.9519722867,818628.1836679243,836560.9519722867,818628.1836679243
41.57,5.5,5.5,836560.9525166815,818628.1893216828,836560.9525166815,818628.1893216828
41.58,5.49,5.49,836560.9530600905,818628.1949755362,836560.9530600905,818628.1949755362
41.59,5.5,5.5,836560.9536044854,818628.2006292947,836560.9536044854,818628.2006292947
41.6,5.5,5.5,836560.9541488801,818628.2062830533,836560.9541488801,818628.2062830533
41.61,5.51,5.51,836560.9546942625,818628.2119367168,836560.9546942625,818628.2119367168
41.62,5.52,5.52,836560.9552406305,818628.2175902856,836560.9552406305,818628.2175902856
41.63,5.52,5.52,836560.9557869986,818628.2232438542,836560.9557869986,818628.2232438542
41.64,5.52,5.52,836560.9563333667,818628.2288974229,836560.9563333667,818628.2288974229
41.65,5.52,5.52,836560.9568797348,818628.2345509916,836560.9568797348,818628.2345509916
41.66,5.53,5.53,836560.9574270905,818628.2402044652,836560.9574270905,818628.2402044652
41.67,5.53,5.53,836560.9579744462,818628.245857939,836560.9579744462,818628.245857939
41.68,5.52,5.52,836560.9585208143,818628.2515115077,836560.9585208143,818628.2515115077
41.69,5.51,5.51,836560.9590661967,818628.2571651712,836560.9590661967,818628.2571651712
41.7,5.49,5.49,836560.9596096058,818628.2628190247,836560.9596096058,818628.2628190247
41.71,5.47,5.47,836560.9601510396,818628.268473068,836560.9601510396,818628.268473068
41.72,5.46,5.46,836560.9606914878,818628.2741272063,836560.9606914878,818628.2741272063
41.73,5.44,5.44,836560.9612299626,818628.2797815324,836560.9612299626,818628.2797815324
41.74,5.43,5.43,836560.9617674497,818628.2854359513,836560.9617674497,818628.2854359513
