Timestamp_(ms),Type,step,axisZAngle,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GyroStartByGroundTruth,KalmanFiltered_Heading,EstimatedBias
1740465223746,Gyro,154.5,-0.14735043,25.149857,322.6577,0.0,0.0,0.0,6,25.19862059000002,321.5863803852815,0.8209376864459816
1740465223755,Gyro,154.5,-0.077896535,25.227753,323.51282,0.0,0.0,0.0,6,25.27651659000003,322.0789201978737,0.7740252916746754
1740465223766,Gyro,154.5,-0.08384527,25.311598,323.93817,0.0,0.0,0.0,6,25.360361590000025,322.73901183217765,0.7064588962230646
1740465223777,Gyro,154.5,-0.09040415,25.402002,324.36484,0.0,0.0,0.0,6,25.450765590000003,323.2906243512671,0.6477477268594557
1740465223784,Gyro,154.5,-0.093864895,25.495867,325.04474,0.0,0.0,0.0,6,25.544630589999997,323.7860056517687,0.6034613156702298
1740465223796,Gyro,154.5,-0.18562187,25.681488,325.79843,0.0,0.0,0.0,6,25.730251590000023,324.3648499925687,0.5430359027212787
1740465223806,Gyro,154.5,-0.08794691,25.769436,326.11823,0.0,0.0,0.0,6,25.818199590000006,325.0264732394146,0.475476974564311
1740465223816,Gyro,154.5,-0.07927009,25.848705,326.28003,0.0,0.0,0.0,6,25.897468590000017,325.5299309339406,0.42441941280425355
1740465223826,Gyro,154.5,-0.06378206,25.912487,326.13132,0.0,0.0,0.0,6,25.96125059000002,325.8752573925152,0.3894476473187101
1740465223836,Gyro,154.5,-0.052924875,25.965412,326.34833,0.0,0.0,0.0,6,26.01417558999998,325.99166319844875,0.37741064009071523
1740465223846,Gyro,154.5,-0.088529974,26.053942,326.1381,0.0,0.0,0.0,6,26.102705590000028,326.15460853831877,0.36073539727168225
1740465223857,Gyro,154.5,-0.038486347,26.092428,325.6962,0.0,0.0,0.0,6,26.141191590000005,326.1445958584283,0.3613200633816426
1740465223866,Gyro,154.5,-0.027151791,26.11958,325.3074,0.0,0.0,0.0,6,26.168343590000006,325.93473912589604,0.38138843638738396
1740465223876,Gyro,154.5,-0.011770877,26.13135,325.06903,0.0,0.0,0.0,6,26.18011359000002,325.64164223945966,0.4097907516367858
1740465223887,Gyro,154.5,0.0059994985,26.12535,324.93317,0.0,0.0,0.0,6,26.17411358999999,325.3736250124405,0.437026285583192
1740465223896,Gyro,154.5,0.051609438,26.073742,325.23438,0.0,0.0,0.0,6,26.122505590000003,325.1674679459658,0.45666394727989157
1740465223906,Gyro,154.5,0.038484365,26.035257,324.75198,0.0,0.0,0.0,6,26.084020590000023,325.1962626240607,0.4534313189399865
1740465223916,Gyro,154.5,0.047111697,25.988146,324.4367,0.0,0.0,0.0,6,26.036909589999993,324.9880033079218,0.4735734698106909
1740465223926,Gyro,154.5,0.046850506,25.941296,323.78696,0.0,0.0,0.0,6,25.990059589999987,324.7299910513687,0.4986866762385588
1740465223937,Gyro,154.5,0.043266274,25.89803,323.20312,0.0,0.0,0.0,6,25.94679358999997,324.28982706950814,0.5438272193425818
1740465223946,Gyro,154.5,0.035128374,25.862902,323.11807,0.0,0.0,0.0,6,25.911665589999984,323.78332011242566,0.5925666769049616
1740465223956,Gyro,154.5,0.04423277,25.818668,322.9498,0.0,0.0,0.0,6,25.867431590000024,323.4718069258848,0.6226027459651909
1740465223968,Gyro,154.5,0.008006604,25.810661,322.93906,0.0,0.0,0.0,6,25.859424590000003,323.22566619707936,0.648360754094032
1740465223975,Gyro,154.5,0.0016658606,25.808996,323.06934,0.0,0.0,0.0,6,25.85775959,323.0903211164657,0.6601525939225236
1740465223986,Gyro,154.5,-0.0012934979,25.81029,323.55273,0.0,0.0,0.0,6,25.859053589999974,323.0766879835684,0.6607820438319653
1740465223996,Gyro,154.5,-4.055196E-4,25.810696,323.9215,0.0,0.0,0.0,6,25.85945959000003,323.29395821150587,0.638579199544882
1740465224007,Gyro,154.5,-0.006089839,25.816786,324.12103,0.0,0.0,0.0,6,25.86554959,323.58127814616637,0.6080059923437438
1740465224016,Gyro,154.5,-0.009597561,25.826384,324.15378,0.0,0.0,0.0,6,25.875147589999983,323.8286537790589,0.5834294595910847
1740465224026,Gyro,154.5,-0.018022997,25.844406,324.28253,0.0,0.0,0.0,6,25.893169590000014,323.9762375137704,0.5683487636473131
1740465224036,Gyro,154.5,-0.029075447,25.873482,324.46704,0.0,0.0,0.0,6,25.92224558999999,324.1151087086978,0.5540484061103259
1740465224046,Gyro,154.5,-0.03653454,25.910017,325.0971,0.0,0.0,0.0,6,25.958780590000003,324.2751873377029,0.5376123945877471
1740465224056,Gyro,154.5,-0.06387704,25.973894,325.46878,0.0,0.0,0.0,6,26.022657589999994,324.65321199154084,0.4995237698652898
1740465224066,Gyro,154.5,-0.023160612,25.997055,325.84152,0.0,0.0,0.0,6,26.04581859000001,325.0287168891289,0.4617308883891825
1740465224076,Gyro,154.5,-0.005145954,26.002201,326.07257,0.0,0.0,0.0,6,26.050964589999978,325.4032388762281,0.4240735466214641
1740465224086,Gyro,154.5,0.016062284,25.98614,326.47485,0.0,0.0,0.0,6,26.03490359,325.7115260359282,0.39304459684815174
1740465224096,Gyro,154.5,0.028243523,25.957895,326.0534,0.0,0.0,0.0,6,26.00665859000003,326.0636443166526,0.3576996756667508
1740465224105,Gyro,154.5,0.07220654,25.885689,325.65942,0.0,0.0,0.0,6,25.934452589999978,326.05751519252624,0.35803701220451833
1740465224116,Gyro,154.5,0.04108513,25.844604,324.84717,0.0,0.0,0.0,6,25.893367590000025,325.8709769971255,0.3766165687357592
1740465224127,Gyro,154.5,0.041985083,25.80262,324.52277,0.0,0.0,0.0,6,25.85138359000001,325.39403719158753,0.42635501629990025
1740465224136,Gyro,154.5,0.042351957,25.760267,324.2236,0.0,0.0,0.0,6,25.80903059000002,324.9880537193097,0.4657391141669708
1740465224147,Gyro,154.5,0.03598044,25.724287,324.19223,0.0,0.0,0.0,6,25.773050590000025,324.6308894138809,0.5020890152255535
1740465224157,Gyro,154.5,0.06168141,25.662605,324.00458,0.0,0.0,0.0,6,25.711368590000006,324.4250427867821,0.522511511708374
1740465224167,Gyro,154.5,0.02739134,25.635214,324.03976,0.0,0.0,0.0,6,25.683977589999984,324.22734816893006,0.5418705466851222
1740465224177,Gyro,154.5,0.026640354,25.608574,323.8057,0.0,0.0,0.0,6,25.657337589999997,324.1375703153326,0.5503275922888415
1740465224187,Gyro,154.5,0.028854799,25.57972,323.75104,0.0,0.0,0.0,6,25.628483589999973,323.98083255873803,0.5654291119117127
1740465224196,Gyro,154.5,0.034720454,25.544998,323.605,0.0,0.0,0.0,6,25.593761589999986,323.87169101682485,0.5753365348848154
1740465224209,Gyro,154.5,0.042376056,25.502623,323.47342,0.0,0.0,0.0,6,25.551386589999993,323.74423578595815,0.5886850220841654
